Gene	1.D3_Contro	2.D3_Treate	3.D6_Contro	4.D6_Treate	5.D10_Contr	6.D10_Treat
Pth2r	0	2	0	0	2	3
2700081O15Rik	9771	8933	8064	8677	7181	8720
1110038F14Rik	1932	1856	1913	1627	2206	1712
Rarres2	38	51	206	130	882	320
Rarres1	0	0	1	1	1	0
2810474O19Rik	7816	7259	8570	7733	4832	4512
Fv1	269	206	253	167	190	157
2210010C04Rik	0	2	0	0	0	0
Hras	4001	3546	3164	3225	2903	4059
Sgsm3	1458	1540	1371	1480	1293	1420
Sgsm2	4276	3947	4483	3942	3984	3657
Acot8	612	632	582	590	664	648
Acot9	2986	2725	2546	2765	2178	2108
Acot6	68	96	73	82	123	102
Acot7	2918	2666	2227	2298	2119	2526
Acot4	35	30	20	55	41	37
Acot5	0	0	0	0	0	0
Acot2	399	406	562	1778	453	425
Acot3	0	0	0	0	1	0
Slc15a4	1963	1941	2123	2395	1781	2114
Acot1	54	107	60	106	27	50
Pyurf	2298	2120	2300	2240	2570	2099
Cplx2	4165	3321	4579	2980	3690	2404
Cplx3	21	15	10	5	20	4
Ppil2	3287	3109	3085	2965	3479	3085
Cplx1	0	0	0	0	0	2
Ppil4	4295	4431	4251	4507	3614	3986
Cplx4	2	0	0	0	0	0
Afap1l1	1	4	0	4	2	6
Afap1l2	2312	2149	1693	1874	833	1067
Sgip1	0	0	0	2	0	0
1700054A03Rik	0	0	3	0	1	0
Dcpp1	0	0	0	0	0	0
Dcpp2	0	0	0	0	0	0
Dcpp3	0	0	0	0	0	0
Olfr218	0	0	0	0	0	0
AI429214	186	179	188	207	322	176
Olfr215	0	0	0	0	0	0
Olfr214	0	0	0	0	0	0
Olfr211	0	0	0	0	0	0
Olfr213	0	0	0	0	0	0
Olfr212	2	0	0	0	0	0
Stc1	0	0	0	0	0	0
Stc2	0	2	2	1	1	0
Ccnd1	38758	45052	33581	46888	33999	45284
Ccnd3	5270	5511	4505	4663	5248	6116
Ccnd2	78413	85447	67588	63369	45356	34294
Rps24	1213	1297	1329	1574	1809	1793
Mir145b	0	0	0	0	0	0
Mir145a	65	49	12	11	10	7
4930596I21Rik	10	12	1	2	5	5
Epyc	0	7	7	0	6	2
Gm10681	0	0	0	0	0	0
Gm10684	0	0	0	0	0	0
Mir6481	8	16	10	8	5	1
Tex15	2	2	0	0	0	0
Tex14	22	34	52	71	314	262
Cetn4	67	85	112	90	213	142
Cetn3	5064	4824	4340	4612	5500	6202
Cetn2	3005	2529	2607	2094	3548	2636
Cetn1	3	0	0	1	2	2
Tex12	19	25	12	10	18	16
Wibg	1620	1534	1364	1325	1541	1683
5033404E19Rik	0	4	0	0	0	0
Mir7688	1	5	3	4	3	4
Mir7689	0	1	1	0	0	0
Mir7684	0	0	0	0	0	0
Mir7685	1	0	0	0	0	0
Mir7686	5	1	0	0	2	0
Mir7687	3	1	2	0	0	0
Mir7680	0	0	0	0	0	0
Mir7681	0	1	0	1	0	0
Mir7682	12	18	6	3	0	3
Mir7683	0	0	0	0	0	0
Ctps2	4427	4422	3659	2855	4373	3282
Chrac1	1638	1588	1583	1629	2014	2033
Inip	2372	2433	1959	1877	1900	2347
Gm10024	0	0	0	0	0	0
1500012F01Rik	4601	5693	7347	11527	7851	6254
Vmn1r-ps79	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
Evc2	7072	6052	6533	5087	5079	4046
Zfp943	1361	1393	1515	1784	1836	1666
Zfp942	2056	2062	2117	2068	1862	1832
Zfp941	76	78	13	47	8	6
Zfp940	311	260	290	216	169	152
Zfp947	238	220	236	259	313	300
Zfp946	1014	867	814	690	895	835
Zfp945	1739	1752	1874	2005	2142	1437
Zfp944	1333	1223	1395	1217	1423	1191
Zfp949	482	381	460	356	515	320
Zfp948	4033	3584	2930	2354	2947	3961
Rsu1	14282	13492	11600	9253	12451	11222
Vmn2r40	0	0	0	0	0	0
Vmn2r41	0	0	0	0	0	0
Vmn2r42	0	0	0	0	0	0
Vmn2r43	0	0	0	0	0	0
Vmn2r44	0	0	0	0	0	0
Vmn2r45	0	0	0	0	0	0
Vmn2r46	0	0	0	0	0	0
Vmn2r47	0	0	0	1	0	0
Arl8b	13273	13214	14023	14912	11230	11922
Vmn2r49	0	0	0	0	0	0
9330178D15Rik	0	0	0	0	0	0
Arl8a	4839	4745	4754	5004	3735	4101
Ppbp	10	6	9	4	8	2
Cav2	11491	9385	10185	5842	12214	6280
Cav3	0	2	0	45	2	83
Pbk	3342	3224	1717	782	1758	2820
Cav1	24818	15844	20603	7962	16140	4969
Rad23b	38133	35683	35344	34120	26323	27003
Shcbp1	4181	4145	2172	1056	1837	3346
Rad23a	3997	3976	3493	3595	3236	3321
Scarb2	4367	4302	4159	3987	2633	2445
Scarb1	6659	6583	5554	5994	4265	6441
Epha10	4	3	3	4	2	3
Hhipl1	260	218	204	426	245	244
Npnt	272502	307936	264041	181824	124963	94203
Trim8	6150	5684	5714	6281	3817	4726
Hhipl2	18	20	17	18	5	4
Trim3	4229	3647	3674	3316	3420	3283
Trim2	11907	9609	11375	6414	8351	5018
Stxbp5l	2	9	2	0	0	0
Trim7	1372	1406	1419	1210	1017	843
Trim6	15	14	4	6	7	0
Mn1	5730	5041	5227	3215	3296	2225
Col5a2	291691	264032	300564	323164	250382	397060
Col5a3	13075	11273	20835	11439	17671	5875
Ttc17	3905	3889	3697	4092	2755	2841
Col5a1	142725	135042	155655	212045	123256	169450
Ttc13	3541	3422	2901	2725	2085	2734
Ttc12	580	616	530	529	920	712
Ttc19	3435	3030	2956	2465	2138	1754
Baalc	32	27	13	21	24	26
Sipa1	2880	2038	2257	1146	2191	1995
Mup3	0	0	0	0	0	0
Gadd45a	393	461	486	1615	648	670
Gadd45b	1454	1557	1655	3692	1892	3178
Fam208b	9934	10605	8450	7915	5548	5998
Mnt	3785	3553	3477	4272	1993	2650
Gadd45g	7019	6036	2732	3624	3271	4003
Gm5409	0	0	0	0	0	0
Slc25a40	994	988	731	725	996	994
Slc25a41	3	0	1	0	0	0
Slc25a42	475	454	451	450	608	546
Slc25a43	455	419	421	319	356	342
Slc25a44	3121	3056	2858	2523	2240	2423
Slc25a45	475	372	631	630	852	757
Slc25a46	5243	4958	4095	4186	3530	4009
Slc25a47	183	185	141	117	104	106
Slc25a48	4	14	2	10	0	4
Olfr1513	0	0	0	0	0	0
Tmem213	0	0	1	1	1	0
Tmem212	1	2	1	3	2	0
Tmem211	0	0	0	0	0	1
Tmem210	1	0	0	0	3	0
Tmem217	3	0	0	3	0	0
Tmem216	782	707	713	647	907	787
Tmem215	0	0	0	0	0	0
Tmem214	10378	11594	11490	13716	8762	10562
8430408G22Rik	0	0	0	2	0	0
Tmem219	826	872	1118	1116	1231	1195
Tmem218	731	812	943	954	1350	1048
Sh3rf2	276	256	196	128	221	313
Sh3rf3	5649	5481	5841	3758	3931	2661
Prol1	0	0	0	0	0	0
Dnah2	40	65	45	38	65	42
Vmn1r142	0	0	0	0	0	0
Dnah1	20	22	5	4	9	8
Dnah6	5	1	1	5	8	15
Dnah5	0	0	0	10	0	0
Dnah8	0	2	2	0	0	0
Dnah9	4	7	5	7	2	16
Gm20063	0	0	0	0	0	0
Zhx2	1109	1102	1282	1242	886	885
Zhx3	3407	3503	3623	2457	2503	2768
Zhx1	6444	6820	6322	5704	5679	5806
Atp6v1e1	8488	8900	9730	11949	11831	13926
Atp6v1e2	0	0	0	0	0	2
Rbpjl	4	6	0	5	4	10
Cflar	6122	5985	7104	4937	4879	4096
Mir29b-2	0	0	0	0	0	0
Defb47	0	0	0	4	0	0
Defb46	0	0	0	0	0	0
Defb45	0	0	0	0	0	0
Defb43	0	0	0	0	0	0
Defb42	2	2	0	0	2	0
Defb41	0	2	1	0	0	0
Defb40	1	0	1	0	1	0
Fancc	1114	1132	1173	1440	1416	1711
Defb48	0	0	0	0	0	0
Sncaip	17	57	56	267	63	286
Ppp2r4	16267	15938	14626	11641	13586	12726
Pvalb	0	2	0	4	0	0
Sulf1	54	53	30	26	52	28
Gm6194	113	113	120	95	73	131
Krtap8-1	0	0	0	0	0	0
Grm6	0	0	0	0	0	0
Fancl	1017	998	779	807	938	1172
5330434G04Rik	0	0	0	0	0	0
1110008F13Rik	2509	2292	2276	2329	2201	2723
Pccb	4141	3975	4925	5203	5338	4506
Fanci	2034	1976	1108	531	1140	1870
Olfr128	0	0	0	0	0	0
A830082N09Rik	357	429	323	347	248	320
Wrb	5044	5465	4009	4037	3065	4281
Wrn	3956	3660	3045	2335	3320	3230
4930526H09Rik	0	0	0	0	0	0
6430584L05Rik	0	0	0	2	0	8
4930459C07Rik	8	5	11	4	11	0
Rptoros	39	48	22	11	20	14
Gm8979	0	0	0	0	0	0
Avpr1b	0	0	0	0	0	0
Avpr1a	0	0	0	0	0	0
Cstf1	3397	3410	2795	2366	2397	2561
Cstf3	5149	4948	4234	3847	3868	3394
Cstf2	5691	5753	4333	3968	3656	4051
Gm9376	0	0	0	0	0	0
4930550L24Rik	4	22	8	41	3	34
Gm2447	0	0	0	0	0	0
Sprtn	2102	2146	1941	1783	1328	1756
Ly6g6c	1	2	0	0	0	0
Ly6g6d	0	4	0	4	2	14
Ly6g6e	0	1	1	11	0	2
Ly6g6f	0	0	0	0	0	0
Sstr1	0	0	0	0	0	0
Sstr3	57	36	26	39	40	15
Sstr2	47	77	51	84	40	37
Sstr5	0	0	0	0	0	0
Sstr4	13	12	2	5	6	0
Ifi47	1746	1216	1286	721	2302	1059
Ifi44	570	503	256	221	366	150
Nsmaf	5819	6611	5918	6492	4897	4904
4933406J08Rik	0	0	0	0	0	0
4930453L07Rik	0	0	0	0	0	0
Gba2	2062	1903	1643	1376	1217	991
Duxbl1	0	0	0	0	0	0
Duxbl3	0	0	0	0	0	0
Duxbl2	0	0	0	0	0	0
Spint2	2	2	0	5	2	0
Mrpl11	2800	2861	2394	2481	3085	3094
Mrpl12	3611	3548	3004	3060	3505	3859
Spint1	0	0	1	0	0	1
Mrpl14	2326	2430	2138	1983	2832	3001
Mrpl15	3617	3648	3574	3428	3496	3666
Mrpl16	3285	3298	3004	3360	3098	3734
Mrpl17	4912	5318	4336	4818	4996	5010
Mrpl18	3580	3383	2522	2336	3467	4678
Mrpl19	3168	2997	2587	2453	2500	2770
2310045n01rik-mef2b	0	0	0	0	0	0
Mynn	2731	2766	2790	2628	2379	2275
Eva1a	0	0	0	0	0	0
Eva1b	2024	2016	2242	2096	2418	2296
Eva1c	1434	904	1111	335	720	244
Stag2	13615	13417	14990	12838	14438	12683
Olfr593	0	0	0	0	0	0
Stag1	8425	8982	7510	7132	6329	7189
Acat1	8247	7878	9160	7679	9313	8992
Acat2	5935	4947	3099	1712	1750	2118
Acat3	40	48	25	21	32	24
Ica1	2	8	0	10	0	2
Defb18	0	0	0	0	0	0
Arap2	31	55	24	66	18	54
Arap1	3524	2984	3053	2375	2459	2593
Ahnak	283691	280126	259207	216336	180334	151981
Hgfac	23	12	27	14	12	2
Ggn	153	168	110	75	96	101
Ggh	2372	2993	2549	3351	2930	3237
Cyp2e1	0	0	0	0	0	0
Cmtr2	1267	1292	923	1027	686	831
Cmtr1	573	556	443	404	487	446
Ermn	0	0	0	0	0	0
Ptx3	4169	3722	1922	2280	1732	1940
Ptx4	0	6	2	16	0	2
Itga10	9108	10210	10008	14897	8971	14418
Itga11	10915	10581	8549	13604	8852	12827
Sez6	2	2	0	2	2	0
Trdn	0	0	0	0	0	0
Klk1b16	0	0	0	0	0	0
Klk1b11	0	0	0	0	0	0
Jam2	295	316	250	541	266	977
Jam3	2264	2470	2032	1847	1772	1634
Gskip	2145	1854	1983	1978	2222	1958
AA986860	223	297	289	286	176	166
Hbq1a	0	0	0	0	0	0
Hbq1b	0	0	0	0	0	0
Rhbdf1	6101	4746	5941	5101	5333	4225
Rhbdf2	211	236	201	334	119	114
2010005H15Rik	0	0	0	0	0	0
Piezo2	0	2	0	3	4	0
Hsh2d	1	1	0	4	4	1
Scimp	0	0	0	0	0	0
1700064M15Rik	0	0	2	6	0	0
Pot1b	1419	1395	1206	952	1113	946
Rfk	5041	5040	4780	4583	4423	4197
Pot1a	2780	2851	2627	2334	2410	2662
Olfr1024	0	0	0	0	0	0
Olfr1026	0	0	0	0	0	0
Olfr1020	0	0	0	0	0	0
Olfr1022	0	0	0	0	0	0
Olfr1023	0	0	0	0	0	0
Olfr1028	0	0	0	0	0	0
Olfr1029	0	0	0	0	0	0
C030034L19Rik	2	4	20	12	15	2
C030013C21Rik	16	20	19	23	15	17
Snrk	1502	1502	1404	1318	884	885
Marcks	117771	104844	101157	63730	80461	56375
Bvht	474	420	319	246	494	379
Naa20	1118	1087	974	943	1082	1200
Naa25	5026	5316	4304	4247	2906	3450
Gstm1	4226	3475	3148	1866	4334	2361
Gstm2	3045	2716	2605	2102	3061	2097
Gstm3	0	1	0	0	0	0
Gstm4	35	65	52	47	61	56
Gstm5	1505	1756	1642	1856	3046	2408
Gstm6	11	29	24	24	73	29
Gstm7	185	169	177	150	337	190
4933401B06Rik	0	0	0	0	0	0
Hist2h4	16	20	18	12	17	30
Gen1	1489	1525	659	424	720	1154
Dnmt3aos	7	10	4	8	8	13
Acmsd	3	1	5	0	3	1
H1f0	35186	36252	28471	25662	21482	22315
St6galnac6	8647	9428	8528	8566	8967	11156
St6galnac5	2	5	5	2	1	3
St6galnac4	5024	4554	4912	4962	3992	5125
St6galnac3	0	0	0	0	0	0
St6galnac2	52	71	41	42	66	42
St6galnac1	0	2	0	0	0	1
Pde2a	369	203	60	59	70	71
Vmn1r43	0	0	0	0	0	0
Tlcd2	44	67	68	82	100	114
Tlcd1	952	804	883	951	1178	1177
H1fx	2147	1997	1267	734	884	908
Synpo2	282	210	156	138	169	204
Rsph6a	9	13	4	0	2	0
Rspo3	165	217	105	106	101	109
Rspo2	2275	1342	790	441	752	350
Mir192	0	0	0	0	0	0
Rspo4	20	11	11	7	2	1
Gnpda2	2121	1935	2308	2200	2686	1980
Gnpda1	647	529	844	976	861	900
Gm16523	86	102	73	50	73	63
Mirc35hg	3	5	0	5	2	0
Akr1b8	3314	3065	3047	2476	3184	2377
Akr1b3	1	0	0	0	0	1
4933421I07Rik	0	0	0	0	0	0
Akr1b7	1	0	2	98	9	11
Thumpd1	4978	4935	4381	4747	3669	3891
Thumpd3	2931	3112	2919	3094	2933	2904
Thumpd2	779	759	775	698	699	524
Bmpr1a	16366	15076	14267	11823	12346	12747
Bmpr1b	0	2	0	2	0	0
Nadk2	2106	2280	1948	2260	2166	2980
Serp2	61	70	57	54	52	53
Serp1	20371	23184	25370	36298	25284	31097
Rergl	0	0	0	0	0	0
1600002D24Rik	0	0	0	2	0	0
Wars2	1936	2251	1981	2307	1606	1592
A930013F10Rik	373	386	281	179	157	114
Rian	0	0	4	1	2	0
Tfec	0	0	0	0	0	0
Tfeb	991	945	890	723	839	811
Olfr406	0	0	0	0	0	0
Olfr401	0	0	0	0	0	0
Olfr402	0	0	0	0	0	0
Olfr403	0	0	0	0	0	0
Col22a1	9	13	21	586	63	2523
Trappc11	5475	5214	5266	5007	4607	4500
Trappc10	6952	6628	5614	5410	4297	4651
Trappc13	4880	4698	4233	3895	4344	4969
Trappc12	3485	3325	3332	3195	3762	3452
4933436H12Rik	0	0	0	0	0	0
Tubb6	16225	14266	10593	6758	9037	12070
Vipas39	2183	2304	2076	2230	1793	1888
Tubb5	147054	134915	99870	70859	96628	134832
Tubb3	449	954	920	3009	1476	6849
Tubb1	1	0	0	0	0	0
Tfe3	3577	3201	3250	3287	2381	2077
1700113B09Rik	2	1	6	6	2	8
4930429F24Rik	5	0	2	1	0	0
Ngdn	1337	1419	1230	1389	1178	1238
Gng7	436	507	481	587	539	659
Gng4	0	4	0	2	0	2
Gng5	365	366	365	466	492	553
Gng2	43	421	185	951	138	337
Gng3	264	276	192	162	83	86
Gng8	318	286	210	124	227	156
Vps26a	7107	6723	7065	7643	6627	6650
Vps26b	5962	5600	6212	5391	5196	5170
Gpd1	108	141	210	201	421	297
Gpd2	4165	4782	2819	3397	2255	3405
Gm7903	0	0	0	0	0	0
Gm7904	6	9	1	11	11	7
Nr1i3	6	15	3	0	9	8
Nr1i2	2	1	3	0	0	0
Srek1	9320	8845	6374	5518	4537	4283
Enpep	196	524	502	480	404	240
Mvk	7379	6233	4376	2701	2350	2516
Ppp1r14d	4	1	1	0	1	0
Amd2	0	0	0	0	0	0
Ppp1r14c	197	170	304	195	325	152
Amd1	0	0	0	0	0	0
Drosha	9611	9253	8596	7599	6169	6108
Sprr2j-ps	0	0	0	0	0	0
Ndnl2	1795	1742	1564	1774	1585	1987
Snora36b	0	0	0	1	0	0
Prkar1a	32043	30031	31917	27359	28764	23990
Prkar1b	10	10	22	41	17	32
4833422C13Rik	54	40	60	32	47	15
Zfp787	899	835	916	1089	843	843
B230323A14Rik	0	0	0	0	0	0
Naprt	51	53	32	35	52	49
4930474H20Rik	0	0	0	0	0	0
Ctns	1520	1418	1978	2288	1660	1674
Gm1995	14	17	6	14	3	9
Olfr1532-ps1	0	0	0	0	0	0
Prpf39	5486	5058	4878	4184	3583	3598
Wdtc1	3225	3240	3533	3247	2629	2226
Prpf31	4046	4361	3284	3267	2990	3897
Topaz1	0	0	0	0	0	0
Htr3b	1	2	0	0	0	0
Htr3a	0	0	0	2	0	0
Hmgb3	165	164	76	72	37	66
Hmgb2	664	635	312	161	245	330
Hmgb1	520	490	388	263	371	299
Sparcl1	10149	7890	10444	3011	5926	1396
Tmem254b	0	0	0	0	0	0
Hmgb4	0	0	0	0	0	0
Syt12	197	240	225	222	193	143
Adamts10	7978	7346	7654	7139	4977	4350
Adamts13	0	2	3	1	0	3
Adamts12	7167	7509	7401	7039	5049	6464
Adamts15	2	0	0	13	0	17
Adamts14	1409	1680	1462	1877	1189	1157
Adamts17	87	127	202	277	112	99
Adamts16	6	8	12	32	7	0
Adamts19	0	0	0	0	0	0
Adamts18	4	17	0	121	16	741
Clec10a	10	37	34	62	43	22
Dctd	1897	1719	1470	1394	1506	1818
Grasp	344	313	408	595	419	672
Sp110	191	174	151	120	194	124
1700110I07Rik	0	0	0	0	0	0
Hltf	2713	2859	2955	3587	2824	2743
Clec2i	0	0	0	0	0	0
Clec2h	0	0	0	0	0	0
Clec2l	31	70	30	101	46	103
Cd33	6	2	13	0	19	3
Clec2e	2	0	0	0	0	0
Clec2d	684	385	551	170	791	225
Clec2g	0	4	5	5	2	12
Clec2f	2	14	3	5	2	3
Cited2	6860	5206	3804	2641	2887	1967
Cited1	58	99	67	52	31	29
Mta1	7330	6338	6576	5724	5078	5196
Mta2	14036	11861	12686	11742	10308	10271
Cited4	0	0	0	0	0	0
Trh	0	0	0	0	0	0
Nceh1	2063	2207	1666	1777	1429	1908
Cyr61	62151	52668	18695	10362	14623	11756
Tro	11	21	4	15	0	6
Fam166a	16	20	9	10	7	5
Fam166b	24	21	9	14	4	6
Trf	5	8	6	6	8	1
4930471M09Rik	4	0	4	0	2	0
Gm7120	366	419	443	483	445	420
Atxn7	3044	2913	2588	2293	1609	1526
Atxn2	5322	4681	4183	3599	3355	3248
Atxn3	1784	1737	1541	1563	1364	1232
Atxn1	4924	3994	4158	2699	2567	2261
Slc6a3	0	0	0	0	0	0
Slc6a2	23	20	21	6	31	11
Slc6a1	0	4	2	4	2	0
Vmn1r19	0	0	0	0	0	0
Slc6a7	27	16	17	39	22	28
Slc6a6	24336	28128	10250	15347	13956	22569
Slc6a5	0	0	0	0	0	0
Slc6a4	27	168	70	842	74	210
Vmn1r12	0	0	0	0	0	0
Vmn1r13	0	0	0	0	0	0
Slc6a9	1594	1862	2247	6786	615	586
Slc6a8	4361	3474	4535	3201	3831	3143
Vmn1r16	0	0	0	0	0	0
Vmn1r17	0	0	0	0	0	0
Vmn1r14	0	0	0	0	0	0
Vmn1r15	0	0	0	0	0	0
1700022H01Rik	8	7	4	11	10	13
Cd3d	0	0	0	2	0	0
Cd3e	0	2	0	0	0	0
Pfpl	0	2	2	25	9	22
Cd3g	0	0	0	1	0	0
Igsf1	0	2	0	2	0	0
Igsf3	11566	8476	9489	3885	6121	5035
Lctl	532	474	590	437	772	558
Hax1	354	362	384	558	449	374
Vmn2r100	0	0	0	0	0	0
Vmn2r101	0	0	0	0	0	0
Vmn2r102	0	0	0	0	0	0
Vmn2r103	0	0	0	0	0	0
Vmn2r104	0	0	0	0	0	0
Vmn2r105	0	0	0	0	0	0
Vmn2r106	0	0	0	0	0	0
Vmn2r107	0	0	0	0	0	0
Vmn2r108	0	0	0	0	0	0
Vmn2r109	0	0	0	0	0	0
Gm6654	73	51	77	64	38	49
Bhlhe40	7090	7008	6571	9248	4647	5932
Bhlhe41	1388	1541	2009	1643	1910	1342
Krtap9-3	4	7	3	6	6	5
Krtap9-5	0	0	0	0	0	0
Tmsb15a	0	0	0	0	0	0
Tmsb15l	0	0	0	0	0	0
Gm8720	0	0	0	0	0	0
Fezf1	0	0	0	0	0	0
Fezf2	0	2	0	0	0	0
C430049B03Rik	1481	1189	972	455	908	524
Mir103-1	0	3	1	0	0	0
Lef1	852	999	1089	966	753	487
Mir103-2	1	8	7	7	6	5
LOC100504039	0	0	0	0	0	0
Cntnap5a	0	0	0	0	0	0
Cntnap5c	0	0	0	0	0	0
Cntnap5b	0	0	0	0	0	0
Gm1564	30	21	14	4	22	19
Vmn2r57	5	4	6	5	1	4
C920021L13Rik	64	48	50	44	45	23
Vmn2r56	0	0	0	0	0	0
5830411N06Rik	0	0	0	0	0	0
Irx5	5628	4246	3949	3729	3355	3569
Irx4	0	0	0	0	0	0
Ap1b1	7665	7576	7182	6525	6219	6320
Irx6	0	4	0	10	4	4
Irx1	1675	1214	1264	1084	985	759
Irx3	4061	3680	2726	2813	2198	2075
Irx2	1521	1163	1288	1073	855	926
Crispld2	29	35	35	46	69	99
Azgp1	0	0	0	0	0	0
Gnrhr	0	0	0	0	0	0
Galnt9	0	0	0	0	0	0
Galnt4	4952	4218	4405	3024	3445	2587
Galnt5	0	13	4	84	2	66
Galnt6	0	2	0	2	0	4
Galnt7	1479	1633	1276	1507	1105	1513
Galnt1	7834	7850	7612	7617	8003	8624
Galnt2	11043	11122	8863	9149	7825	9580
Galnt3	73	223	187	1132	258	904
Ncbp1	10783	10766	9168	9694	8876	10525
Ncbp2	6917	6824	6757	6412	7284	7053
4932415M13Rik	0	0	0	0	0	0
A930016O22Rik	5	1	3	0	0	0
Gnrh1	44	60	35	44	44	39
Xpo1	20724	19996	14912	11875	13344	15387
Xpo5	10260	9774	8359	8061	7405	8524
Xpo4	2085	2186	1511	1462	1253	1881
Xpo7	7145	7309	6452	5875	5537	5005
Xpo6	8194	7985	6736	5824	4804	5083
Dohh	3556	3812	3314	3729	3222	3916
4933405O20Rik	0	0	1	0	0	0
Hist2h2aa1	0	0	0	0	0	0
Mnat1	2370	2339	2375	2532	2497	2377
Prdm16	28	43	17	67	10	17
Prdm14	2	0	0	0	4	0
Prdm15	2180	2049	1798	1412	1248	1346
Prdm12	0	8	1	0	0	0
Prdm13	0	0	0	0	0	0
Prdm10	867	780	544	488	528	476
Prdm11	72	114	75	85	67	36
Mir3068	25	39	18	13	12	5
Mir3069	0	0	0	0	0	0
Mir3060	29	25	17	16	12	10
Mir3061	27	18	16	16	10	15
Mir3062	6	4	1	4	1	2
Mir3063	0	0	0	0	0	0
Mir3064	382	383	425	438	515	590
Boll	0	0	1	0	0	0
Mir3066	1	2	0	0	1	1
Mir3067	0	0	0	0	0	0
Sept9	21227	16072	21436	15394	13905	12471
Git1	7475	6341	7358	6244	4977	4700
Git2	3390	3281	3082	2694	2697	2479
Cyth1	2694	2296	2018	1663	1761	1619
Sept4	103	246	103	269	418	600
Cyth3	8367	8862	9443	9110	8172	7963
Sept6	4257	4485	3827	2908	3644	2674
Sept1	15	6	9	7	0	6
Cyth4	0	0	0	4	0	0
Sept3	6	9	16	8	12	9
Sept2	38218	37882	38079	38502	38050	39107
Akap17b	2484	2471	1934	1541	1769	1289
A830082K12Rik	173	158	187	132	250	209
Tacc1	26354	27729	27061	18492	17888	14338
Tacc2	8077	8288	8258	5812	5190	3604
Tacc3	8995	8623	4722	2449	2706	4765
Gm10272	0	0	0	0	0	0
Klrb1-ps1	0	0	0	0	0	0
Trim80	3	0	1	0	0	0
Scgn	2	0	0	0	0	0
9530002B09Rik	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
Scg5	249	166	296	150	514	140
Scg3	0	3	0	0	3	0
Scg2	4	13	0	27	6	37
Rnft1	5939	5704	6057	5914	6755	6310
Tubgcp2	5222	4778	4408	3925	4150	4713
Tubgcp3	6518	6028	5361	4204	5279	5348
Tubgcp4	3169	2833	2259	1878	2075	2343
Tubgcp5	2411	2238	1968	1719	2142	2182
Tubgcp6	3223	3133	2218	1935	2252	2717
4931440J10Rik	4	3	2	3	3	4
1600002H07Rik	1340	1251	855	828	1203	1544
Mok	98	90	71	64	53	53
Olfr1499	0	0	0	0	0	0
Olfr1491	0	0	0	0	0	0
Olfr1490	0	0	0	0	0	0
Tns1	6465	9971	9692	11190	8819	11232
Olfr1495	0	0	0	0	0	0
Olfr1494	0	0	0	0	0	0
Olfr1497	0	0	0	0	0	0
Olfr1496	0	0	0	0	0	0
4930597A21Rik	2	2	2	0	10	1
Vwa5a	9070	7299	8179	5753	9830	6631
3110035E14Rik	0	0	7	0	4	0
Mir133b	0	0	0	0	0	0
Mir133c	1	0	2	0	0	2
Inafm1	1174	1075	1380	1451	1582	1286
Inafm2	1527	1734	1209	1623	1143	1553
Klrb1	0	0	0	0	0	0
Gfi1	9	22	17	13	8	4
LOC100505025	0	4	1	2	0	0
Hs3st3b1	0	2	0	0	0	0
Icam5	223	127	362	145	532	203
Icam4	2	6	14	6	16	9
R3hcc1	1299	1391	1320	1554	1572	1467
Icam2	2	2	5	6	4	23
Icam1	14	29	39	14	52	22
Tpm4	47369	44327	40523	33632	36672	40187
Tpm3	3837	3417	2799	2575	2565	2680
Tpm2	13656	12620	11207	6522	9252	6042
Tpm1	220755	176928	153850	94254	144689	117187
E4f1	1860	1694	1621	1548	1420	1274
Nelfb	6574	6117	6121	5020	5416	4936
Brs3	0	0	1	0	0	0
Gm15350	8	16	4	2	4	5
Zfp663	0	0	0	0	0	0
Nelfa	3411	3062	2810	2863	2415	2499
Zfp667	777	740	684	569	647	480
Zfp664	6844	6741	6818	5550	6360	6011
Gm13212	0	0	0	0	0	0
Zfp668	993	930	910	898	633	775
C030039L03Rik	180	151	233	277	368	301
Plch2	2	7	4	0	2	2
Plch1	0	4	0	32	0	4
Zbtb8os	229	240	210	198	270	254
Tyrp1	0	1	0	0	0	0
C130021I20Rik	0	0	0	0	5	0
Tpmt	811	648	682	575	847	646
Olfr65	0	0	0	0	0	0
Olfr64	0	0	0	0	0	0
Olfr67	0	0	0	0	0	0
Olfr66	0	0	0	0	0	0
Olfr61	0	0	0	0	0	0
Olfr60	0	0	0	0	0	0
Olfr63	0	0	0	0	0	0
Olfr62	0	0	0	0	0	0
Acly	44860	36821	29585	19069	16496	16092
Olfr69	0	0	0	0	0	0
Olfr68	0	0	0	0	0	0
Tmem52	0	0	0	0	0	0
Tmem53	604	541	500	373	560	462
Nkx1-1	1	0	0	0	0	0
AU021063	0	0	0	0	0	0
Nkx1-2	2	10	0	1	2	2
Tmem51	0	0	0	0	0	0
Dcdc2a	0	1	0	4	0	0
Dcdc2b	263	279	236	274	336	366
Dcdc2c	1	0	1	0	3	0
Unc45a	3817	3101	3478	2718	2318	2024
Unc45b	0	0	0	0	0	0
Polr2e	5332	5586	5253	5326	5622	5979
Polr2d	2752	2764	2860	2626	3151	3532
Polr2g	4347	4493	4423	4825	5292	6333
Polr2f	2986	2862	2466	2515	3193	3497
